,Text,Label
0,'Thousands Upon Thousands' Of Children Purportedly Kidnapped By A Satanic Pedophile Ring Have NOT Been 'Pulled From Underground Bunkers',Fake
1,"No Research Proves Mouthwash Could Protect Against COVID-19, But Scientists Say It Should Be Studied",Fake
2,Worker Did NOT Expose COV-19 Circuit Boards Being Installed in 5G Towers,Fake
3,The United States Is NOT The Only Country On Earth Where People Are Protesting Coronavirus Lockdown,Fake
4,Bill Gates Will NOT Personally Profit From A COVID-19 Vaccine And He Does NOT Own A Company That Will Put A Tracking Microchip In You,Fake
5,New York Schools Did NOT Add A COVID-19 Vaccine To The Mandatory School Schedule,Fake
6,Card Does NOT Exempt Anyone From Wearing A Mask In Public,Fake
7,Doctors Are NOT 'Encouraged' By Hospitals And AMA To Overcount COVID-19 Deaths,Fake
8,Photo Does NOT Show Pennsylvania Governor Breaking His Own Social Distancing Rules,Fake
9,Video Of Police 'Forcing A Family' Out Of Home In Handcuffs NOT Tied to COVID-19 Or HR 6666,Fake
10,President Trump Did NOT Tweet Obama 'Had 8 Years To Prepair The Next President For A Pandemic And He Failed',Fake
11,Dr. Fauci Did NOT Serve On Microsoft's Board of Directors,Fake
12,HR 6666 Is NOT Going To Forcibly Remove People With COVID-19 From Homes As Dr. Rashid Buttar Claims,Fake
13,"HR 6666 Would NOT Ban Anyone Not Vaccinated For COVID-19 From Churches, Schools, Medical Buildings That Get Money From The Bill",Fake
14,"NO Evidence That  'Deep State,' China Use COVID-19 For Population Control And To Derail President Trump",Fake
15,"Obama Did NOT Give $3.7 Million Grant To Wuhan, China, Virology Lab To Study Coronavirus",Fake
16,House Resolution 6666 Does NOT Fund Forced Quarantine For Americans With COVID-19,Fake
17,Bill Gates Did NOT Say The Catholic Religion May Have To Be Suspended Forever,Fake
18,Ventura County Will NOT Forcibly Remove People Infected With COVID-19 From Their Homes Into Quarantine,Fake
19,Mike Pence Did Not Deliver Empty Boxes Of PPE To A Hospital As Seen In Jimmy Kimmel Video,Fake
20,Video Does NOT Reveal That Coronavirus Vaccine Was Patented By Bill Gates In 2006,Fake
21,Dr. Fauci Has NOT Been 'MIA' And He Did NOT Illegally Send NIH Money To The Wuhan Virology Lab,Fake
22,COVID-19 Death Rate In NYC Is NOT 200 Times Higher Than World's 10 Largest Cities,Fake
23,IFCN Press Release: New WhatsApp chatbot unleashes power of worldwide fact-checking organizations to fight COVID-19 misinformation on the platform,Fake
24,"The CDC Did NOT Simply Make 30,000 COVID-19 Deaths Disappear",Fake
25,"Hydroxychloroquine is NOT A Drug Being Held Back, And Studies ARE Underway For Vaccines That Will NOT Be Immediately Injected in People.",Fake
26,Not Wearing Masks For Tuberculosis In The U.S. Does Not Mean Masks Are Not Needed For COVID-19,Fake
27,"Bill Gates, WHO & World Bank NOT 'Trumped' By President Amid Coronavirus",Fake
28,"Pelosi NOT In Wuhan, China, Six Days After Impeachment",Fake
29,Coronavirus Mortality Rate NOT Proven To Be 0.03% By Bakersfield Doctors,Fake
30,"The Flu Did NOT Kill 80,000 People In the United States Last Year",Fake
31,The CDC DOES Recommend That People Who Are Healthy Wear Facemasks,Fake
32,No Proof Is U.S. Planning to Force Vaccinations With Bill Gates Amid Coronavirus,Fake
33,Viruses DO Exist; NOT Just Cell Erosion Caused By Mucus From Food We Eat,Fake
34,"News Outlets DID Report On Coronavirus Cases At Walmart, Amazon, Other Retailers",Fake
35,Unemployed Get $600 Per Week While Essential Workers ARE Required To Report Without CARES Assistance,Fake
36,Japanese Nobel Prize Winner Did NOT Say Coronavirus Was 'Manufactured In China',Fake
37,"Flu Is Not Eradicated, But CDC Says Flu Shots DO Help Prevent It",Fake
38,NO Proof Ultraviolet Radiation Eliminates Coronavirus From The Body,Fake
39,The Media And COVID-19 Did NOT Kill The Same Man Twice,Fake
40,CDC Job Posting For Public Health Advisor (Quarantine Program) Is NOT Proof Of A COVID-19 Conspiracy,Fake
41,Some Megachurches ARE Giving To COVID-19 Relief,Fake
42,There Was NO Family Of Three Who Died Before Testing Positive For Coronavirus,Fake
43,First Volunteer In UK Coronavirus Vaccine Trial Has NOT Died,Fake
44,Trump Did NOT Urge People To Inject Disinfectants To Thwart Coronavirus,Fake
45,Trump Did NOT Announce The 'Biological' lab In Wuhan Was 'Funded' By Obama,Fake
